Date,Close,High,Low,Open,Volume,Return,Vol_5,MA_5
2007-06-22,592.25,607.75,586.0,603.75,12626,,,597.05
2007-06-25,589.5,596.0,584.5,592.75,14613,,,594.75
2007-06-26,608.5,618.0,585.0,589.25,11900,,,600.25
2007-06-27,606.0,624.0,597.0,609.25,13462,,,600.45
2007-06-28,609.0,616.0,602.75,607.5,11175,,,601.05
2007-06-29,582.0,633.75,580.5,609.0,4302,,,599.0
2007-07-02,569.5,594.25,564.0,583.25,1669,,,595.0
2007-07-03,571.5,575.0,562.5,570.0,2038,,,587.6
2007-07-05,591.0,594.0,579.5,580.0,1218,,,584.6
2007-07-06,600.5,600.0,589.0,592.0,641,,,582.9
2007-07-09,588.5,601.75,589.0,601.75,569,,,584.2
2007-07-10,592.0,601.0,591.25,591.25,319,,,588.7
2007-07-11,611.0,614.0,595.25,595.25,348,,,596.6
2007-07-12,611.5,617.5,602.75,617.5,295,,,600.7
2007-07-13,614.0,616.0,608.5,611.5,20268,,,603.4
2007-07-16,601.75,614.5,599.5,611.75,30539,,,606.05
2007-07-17,601.25,619.0,600.5,602.25,44374,,,607.9
2007-07-18,623.5,627.5,599.25,603.0,34158,,,610.4
2007-07-19,620.0,638.5,616.0,624.25,47495,,,612.1
2007-07-20,616.25,630.25,613.25,619.75,24598,,,612.55
2007-07-23,620.25,622.5,611.0,616.25,31867,,,616.25
2007-07-24,642.0,648.0,622.0,622.75,36063,,,624.4
2007-07-25,634.0,643.25,630.25,640.5,24596,,,626.5
2007-07-26,651.0,664.0,634.0,635.0,63702,,,632.7
2007-07-27,653.25,656.5,643.5,651.0,28608,,,640.1
2007-07-30,637.5,655.25,632.0,654.5,29358,,,643.55
2007-07-31,630.0,640.5,626.0,639.0,33476,,,641.15
2007-08-01,636.0,637.25,620.0,630.25,34276,,,641.55
2007-08-02,641.75,651.75,638.0,638.0,32048,,,639.7
2007-08-03,650.0,651.25,643.5,643.5,15480,,,639.05
2007-08-06,664.0,665.75,641.25,647.0,47983,,,644.35
2007-08-07,662.5,670.75,658.25,664.5,42035,,,650.85
2007-08-08,679.0,681.75,661.0,661.5,37564,,,659.45
2007-08-09,673.5,696.5,673.75,678.5,49367,,,665.8
2007-08-10,667.0,680.5,661.75,672.0,44877,,,669.2
2007-08-13,666.5,677.0,660.25,673.0,38738,,,669.7
2007-08-14,692.5,693.5,667.25,669.25,33095,,,675.7
2007-08-15,678.5,702.75,678.0,692.0,26644,,,675.6
2007-08-16,673.0,682.75,654.75,678.5,19925,,,675.5
2007-08-17,672.0,678.0,660.5,674.25,9510,,,676.5
2007-08-20,675.0,676.5,663.5,670.0,11258,,,678.2
2007-08-21,691.5,693.25,675.0,675.0,10955,,,678.0
2007-08-22,718.5,720.0,686.25,691.0,18387,,,686.0
2007-08-23,722.5,735.0,708.5,716.5,10282,,,695.9
2007-08-24,725.75,732.0,718.5,723.5,9662,,,706.65
2007-08-27,722.25,729.5,718.75,725.75,13475,,,716.1
2007-08-28,720.5,737.75,718.0,722.0,13433,,,721.9
2007-08-29,742.0,742.0,714.0,720.75,10792,,,726.6
2007-08-30,770.0,774.0,741.75,742.0,12286,,,736.1
2007-08-31,767.0,793.5,761.25,768.5,4441,,,744.35
2007-09-04,807.0,811.25,783.25,784.0,4440,,,761.3
2007-09-05,842.5,886.0,808.25,808.25,5186,,,785.7
2007-09-06,816.0,844.0,808.0,843.5,1385,,,800.5
2007-09-07,840.0,838.0,808.75,818.5,1819,,,814.5
2007-09-10,849.0,863.75,837.0,837.0,452,,,830.9
2007-09-11,871.0,867.25,843.0,850.0,270,,,843.7
2007-09-12,840.0,887.75,838.75,881.5,354,,,843.2
2007-09-13,825.5,845.25,815.5,845.25,190,,,845.1
2007-09-14,838.0,841.0,815.0,815.0,41618,,,844.7
2007-09-17,875.0,876.0,853.75,854.5,38929,,,849.9
2007-09-18,869.0,898.0,865.25,876.5,43201,,,849.5
2007-09-19,845.0,875.75,839.0,870.75,38003,,,850.5
2007-09-20,850.0,862.5,839.5,845.5,41479,,,855.4
2007-09-21,874.0,879.75,850.25,850.25,36210,,,862.6
2007-09-24,877.75,896.25,870.5,876.0,34257,,,863.15
2007-09-25,887.25,905.0,872.75,879.5,43089,,,866.8
2007-09-26,917.25,917.25,885.0,887.25,46091,,,881.25
2007-09-27,933.0,946.75,925.5,929.25,46737,,,897.85
2007-09-28,939.0,961.5,921.75,933.0,49470,,,910.85
2007-10-01,952.5,958.5,941.75,953.25,33762,,,925.8
2007-10-02,922.5,959.0,922.5,955.0,27342,,,932.85
2007-10-03,927.0,944.0,892.5,913.5,63924,,,934.8
2007-10-04,906.0,948.0,904.25,939.0,52448,,,929.4
2007-10-05,890.0,912.25,888.0,907.25,41717,,,919.6
2007-10-08,860.0,889.0,860.0,886.5,20495,,,901.1
2007-10-09,845.5,876.25,835.0,845.75,59866,,,885.7
2007-10-10,853.0,858.5,841.0,845.0,41844,,,870.9
2007-10-11,883.0,883.0,852.0,853.0,34455,,,866.3
2007-10-12,857.5,890.0,853.0,886.0,45819,,,859.8
2007-10-15,833.5,863.0,827.5,856.0,42938,,,854.5
2007-10-16,828.5,836.0,815.5,832.0,43414,,,851.1
2007-10-17,820.5,837.5,818.25,830.75,36083,,,844.6
2007-10-18,825.5,831.75,818.5,824.0,29559,,,833.1
2007-10-19,855.5,855.5,824.25,827.0,38799,,,832.7
2007-10-22,871.0,874.25,837.25,855.25,38122,,,840.2
2007-10-23,841.0,878.0,841.0,873.25,45106,,,842.7
2007-10-24,811.0,840.5,811.0,838.0,31782,,,840.8
2007-10-25,802.0,814.75,790.25,804.25,41556,,,836.1
2007-10-26,800.0,810.0,795.5,799.75,27166,,,825.0
2007-10-29,828.5,830.0,798.5,800.0,36410,,,816.5
2007-10-30,814.0,829.0,808.75,828.5,45067,,,811.1
2007-10-31,808.0,823.25,804.0,812.75,36813,,,810.5
2007-11-01,778.25,825.0,778.0,811.0,56769,,,805.75
2007-11-02,778.5,786.5,774.5,778.5,40844,,,801.45
2007-11-05,785.0,792.5,773.0,778.0,34815,,,792.75
2007-11-06,797.0,804.0,786.25,787.25,32875,,,789.35
2007-11-07,787.75,811.0,786.25,799.0,42671,,,785.3
2007-11-08,762.0,791.5,761.75,787.25,44058,,,782.05
2007-11-09,762.0,765.5,744.75,762.5,49684,,,778.75
2007-11-12,761.0,770.5,748.5,762.5,44183,,,773.95
2007-11-13,748.0,765.0,745.75,761.0,43481,,,764.15
2007-11-14,752.5,759.25,740.75,748.0,35156,,,757.1
2007-11-15,765.5,773.25,753.75,754.0,40901,,,757.8
2007-11-16,749.5,770.0,745.75,767.75,35556,,,755.3
2007-11-19,756.25,764.0,750.25,750.75,23744,,,754.35
2007-11-20,773.5,774.75,749.0,757.5,33111,,,759.45
2007-11-21,803.5,803.5,772.0,773.75,25119,,,769.65
2007-11-23,826.5,833.5,805.5,810.75,12015,,,781.85
2007-11-26,814.0,841.0,811.5,825.5,12924,,,794.75
2007-11-27,829.0,830.75,806.25,830.5,13485,,,809.3
2007-11-28,859.0,859.0,822.0,831.0,8903,,,826.4
2007-11-29,869.0,892.0,859.0,869.0,12192,,,839.5
2007-11-30,867.0,888.75,845.75,864.0,9575,,,847.6
2007-12-03,855.0,866.5,845.25,865.75,3976,,,855.8
2007-12-04,875.0,873.75,855.75,857.75,3664,,,865.0
2007-12-05,863.75,876.0,850.25,876.0,4234,,,865.95
2007-12-06,871.0,874.5,855.0,855.0,3220,,,866.35
2007-12-07,903.5,903.75,871.5,872.75,3082,,,873.65
2007-12-10,909.0,927.0,903.5,916.25,1403,,,884.45
2007-12-11,894.0,911.0,890.0,910.75,1018,,,888.25
2007-12-12,934.0,931.0,885.5,885.5,523,,,902.3
2007-12-13,934.0,950.5,910.75,934.0,339,,,914.9
2007-12-14,939.0,948.5,926.25,937.0,49978,,,922.0
2007-12-17,966.0,1009.5,965.75,984.0,66022,,,933.4
2007-12-18,952.0,977.0,945.5,969.25,37540,,,945.0
2007-12-19,973.5,979.0,947.0,954.5,27123,,,952.9
2007-12-20,954.0,983.0,950.25,977.0,31683,,,956.9
2007-12-21,949.0,959.75,938.25,954.75,21390,,,958.9
2007-12-24,935.25,947.0,928.5,944.0,17121,,,952.75
2007-12-26,941.25,952.5,934.0,939.0,14609,,,950.6
2007-12-27,915.0,946.0,913.0,940.75,20921,,,938.9
2007-12-28,885.0,920.25,885.0,914.0,30279,,,925.1
2007-12-31,885.0,899.5,877.25,883.0,18904,,,912.3
2008-01-02,915.0,915.0,888.25,892.5,19795,,,908.25
2008-01-03,945.0,945.0,919.0,920.0,35847,,,909.0
2008-01-04,931.5,958.0,916.25,947.0,43772,,,912.3
2008-01-07,903.0,934.0,902.0,926.75,37282,,,915.9
2008-01-08,907.5,929.75,895.5,903.75,49999,,,920.4
2008-01-09,889.5,916.5,889.25,912.25,41809,,,915.3
2008-01-10,882.5,907.0,878.5,887.0,51394,,,902.8
2008-01-11,909.25,912.5,885.0,890.0,51394,,,898.35
2008-01-14,917.0,939.25,902.75,912.5,51394,,,901.15
2008-01-15,932.0,943.5,901.0,914.0,51394,,,906.05
2008-01-16,926.5,942.75,902.0,931.75,51394,,,913.45
2008-01-17,940.5,956.5,927.25,928.5,51394,,,925.05
2008-01-18,962.5,967.5,923.5,940.25,49162,,,935.7
2008-01-22,934.0,986.5,932.5,949.75,70336,,,939.1
2008-01-23,905.0,951.75,904.25,935.0,56849,,,933.7
2008-01-24,909.0,929.0,902.25,914.75,54230,,,930.2
2008-01-25,933.0,938.5,903.25,912.0,47992,,,928.7
2008-01-28,963.0,963.0,933.0,939.75,44258,,,928.8
2008-01-29,944.0,993.0,939.25,974.5,70331,,,930.8
2008-01-30,922.5,950.5,921.5,948.25,43121,,,934.3
2008-01-31,929.5,942.25,909.5,923.0,45353,,,938.4
2008-02-01,943.0,957.25,933.5,934.0,65887,,,940.4
2008-02-04,973.0,973.0,948.0,948.5,37914,,,942.4
2008-02-05,1003.0,1003.0,972.25,977.75,49367,,,954.2
2008-02-06,1033.0,1033.0,1016.0,1017.5,48835,,,976.3
2008-02-07,1063.0,1063.0,1034.0,1060.0,70240,,,1003.0
2008-02-08,1093.0,1093.0,1079.0,1079.0,37942,,,1033.0
2008-02-11,1048.0,1153.0,1055.0,1153.0,113696,,,1048.0
2008-02-12,1007.0,1064.25,989.0,1048.0,74474,,,1048.8
2008-02-13,991.5,1014.75,980.0,1005.25,63197,,,1040.5
2008-02-14,1032.0,1044.75,1002.75,1009.5,47731,,,1034.3
2008-02-15,1027.5,1050.5,1011.5,1039.25,33840,,,1021.2
2008-02-19,1036.0,1060.25,1018.25,1026.75,41677,,,1018.8
2008-02-20,1020.0,1042.0,1008.25,1042.0,38718,,,1021.4
2008-02-21,1029.5,1032.5,1007.75,1020.75,22590,,,1029.0
2008-02-22,1049.5,1052.0,1015.0,1034.25,20416,,,1032.5
2008-02-25,1109.5,1109.5,1051.0,1051.0,13269,,,1048.9
2008-02-26,1199.5,1199.5,1106.5,1199.5,19792,,,1081.6
2008-02-27,1280.0,1334.5,1065.25,1248.0,22235,,,1133.6
2008-02-28,1169.0,1260.75,1160.0,1229.0,10902,,,1161.5
2008-02-29,1073.0,1167.0,1077.25,1155.0,4942,,,1166.2
2008-03-03,1093.0,1247.0,1078.0,1078.0,3397,,,1162.9
2008-03-04,1077.5,1116.25,1044.25,1088.25,1425,,,1138.5
2008-03-05,1096.0,1126.75,1073.25,1073.25,1075,,,1101.7
2008-03-06,1114.0,1124.75,1086.5,1119.0,542,,,1090.7
2008-03-07,1092.5,1110.25,1084.75,1106.25,910,,,1094.6
2008-03-10,1140.0,1094.0,1074.0,1079.5,118,,,1104.0
2008-03-11,1240.0,1298.0,1146.0,1146.0,676,,,1136.5
2008-03-12,1270.0,1293.0,1191.0,1200.0,274,,,1171.3
2008-03-13,1234.0,1290.75,1245.0,1252.75,308,,,1195.3
2008-03-14,1160.0,1239.0,1190.25,1218.0,38180,,,1208.8
2008-03-17,1131.5,1222.0,1131.5,1184.25,31590,,,1207.1
2008-03-18,1164.0,1170.0,1119.75,1130.0,27167,,,1191.9
2008-03-19,1074.0,1170.0,1074.0,1164.5,31925,,,1152.7
2008-03-20,987.5,1094.0,976.0,1077.75,63257,,,1103.4
2008-03-24,1020.0,1062.25,987.5,987.5,33587,,,1075.4
2008-03-25,1067.5,1118.75,1015.0,1026.75,39963,,,1062.6
2008-03-26,1033.0,1091.25,1030.25,1084.0,36431,,,1036.4
2008-03-27,1014.0,1052.0,1000.0,1039.0,27510,,,1024.4
2008-03-28,989.0,1022.0,967.75,1012.5,28804,,,1024.7
2008-03-31,929.0,1015.0,929.0,998.0,28532,,,1006.5
2008-04-01,895.0,932.75,891.5,929.0,51718,,,972.0
2008-04-02,936.5,939.75,898.0,900.25,39522,,,952.7
2008-04-03,937.0,954.5,928.25,941.0,25464,,,937.3
2008-04-04,974.25,985.5,930.5,940.25,36027,,,934.35
2008-04-07,921.25,980.5,922.0,974.25,44211,,,932.8
2008-04-08,934.0,944.25,917.75,923.5,39306,,,940.6
2008-04-09,934.0,961.0,898.5,939.0,61248,,,940.1
2008-04-10,923.0,952.0,918.75,937.75,37289,,,937.3
2008-04-11,896.5,935.5,899.25,925.0,53899,,,921.75
2008-04-14,896.0,915.0,878.0,898.0,30662,,,916.7
2008-04-15,895.75,927.75,893.5,897.0,26743,,,909.05
2008-04-16,924.5,925.5,892.5,898.25,14911,,,907.15
2008-04-17,913.0,945.25,900.0,924.0,10833,,,905.15
2008-04-18,870.0,918.75,863.0,913.25,12723,,,899.85
2008-04-21,845.75,872.5,827.25,872.5,16407,,,889.8
2008-04-22,851.75,860.75,831.0,850.0,8594,,,881.0
2008-04-23,817.75,853.0,808.5,852.25,10058,,,859.65
2008-04-24,809.25,822.5,801.5,817.25,8207,,,838.9
2008-04-25,800.5,822.0,800.0,810.0,10394,,,825.0
2008-04-28,826.0,826.0,800.0,805.5,9179,,,821.05
2008-04-29,794.0,830.75,787.25,825.0,10405,,,809.5
2008-04-30,787.25,799.75,784.25,792.75,9537,,,803.4
2008-05-01,776.5,794.75,764.5,792.25,3027,,,796.85
2008-05-02,796.0,798.25,779.0,781.5,1197,,,795.95
2008-05-05,792.5,819.5,786.0,804.25,2723,,,789.25
2008-05-06,806.0,824.25,788.5,789.0,824,,,791.65
2008-05-07,795.0,810.25,792.25,805.5,535,,,793.2
2008-05-08,809.0,824.5,793.0,793.0,386,,,799.7
2008-05-09,791.5,793.0,780.0,787.75,309,,,798.8
2008-05-12,793.5,795.25,787.75,789.75,108,,,799.0
2008-05-13,785.5,795.5,784.0,790.0,224,,,794.9
2008-05-14,761.0,761.0,761.0,761.0,37353,,,788.1
2008-05-15,771.5,775.5,748.25,764.75,43626,,,780.6
2008-05-16,775.5,784.0,765.75,770.5,22353,,,777.4
2008-05-19,791.0,807.25,771.25,776.5,41163,,,776.9
2008-05-20,784.0,809.5,783.0,796.0,33432,,,776.6
2008-05-21,778.0,794.5,775.0,782.0,36152,,,780.0
